Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
google / cpc,407950,344502,723208,0.6219013064014779,3.5560405858342277,176.0256814083915,0.009078992489021139,6566,6656088123.794391
youtube / social,77785,55537,163447,0.7881148017400136,2.2443238480975483,89.9447404969195,0.005855108995576548,957,842907936.0336329
(direct) / (none),64653,60181,108534,0.5532644148377467,4.120340169900676,200.4291650542687,0.00965596034422393,1048,1040851446.8544917
facebook / social,48721,32781,176662,0.8440015396633118,1.8589962753733118,73.20609412324099,0.002830263440921081,500,534485686.26885355
youtube.com / referral,27718,17774,42464,0.6392238131122834,2.983562547098719,148.44388187641297,0.01196307460437076,508,402541914.8201672
m.facebook.com / referral,14373,10110,17631,0.6997334240825818,2.2419601837672283,87.38642164369577,0.007203221598321139,127,114188784.44747528
l.facebook.com / referral,3661,1712,7144,0.3705207166853303,6.868421052631579,736.7280235162374,0.014417693169092945,103,150801642.1293142
zalo / zalo,2782,2400,4029,0.6684040704889551,2.5346239761727474,147.2511789525937,0.010672623479771656,43,37327813.2666094
youtube / (not set),1741,875,2311,0.7944612721765469,2.078321073128516,68.36391172652532,0.003028991778450887,7,9263413.717115672
facebook.com / referral,1594,694,2557,0.4958936253421979,4.674227610481032,288.2706296441142,0.01134141572154869,29,20931450.212689925
googleapis.com / referral,1411,742,2823,0.6826071555083245,3.1742826780021254,145.96032589443854,0.001771165426850868,5,11520691.453398487
instagram / social,1210,336,1402,0.848074179743224,1.8523537803138375,75.76676176890157,0.0028530670470756064,4,3550773.9671864505
newsletter / email,781,393,2168,0.404520295202952,5.881457564575646,331.9967712177122,0.028136531365313654,61,98910794.4185948
yahoo / organic,451,367,629,0.5405405405405406,4.356120826709062,244.81717011128777,0.022257551669316374,14,9746572.603364972
bing / organic,336,277,520,0.5134615384615384,5.1461538461538465,268.0211538461538,0.009615384615384616,5,6859998.684904436
newsletter / email,300,171,662,0.44410876132930516,5.33987915407855,282.285498489426,0.03323262839879154,22,16729701.018185958
vn.search.yahoo.com / local_display,231,190,327,0.5229357798165137,4.663608562691132,249.2782874617737,0.009174311926605505,3,5419157.411825036
newsletter / email,228,108,517,0.46421663442940037,5.665377176015474,268.3133462282398,0.013539651837524178,7,2548344.5818923167
lm.facebook.com / referral,147,44,248,0.41935483870967744,5.028225806451613,267.2096774193548,0.016129032258064516,4,2125633.395322501
l.messenger.com / local_display,142,57,264,0.4318181818181818,4.981060606060606,298.0984848484849,0.03787878787878788,10,12305726.514171002
123.20.207.23 / local_display,75,30,243,0.31275720164609055,6.45679012345679,306.962962962963,0.012345679012345678,3,4577358.277427431
duckduckgo / organic,71,56,98,0.5918367346938775,4.877551020408164,226.41836734693877,0.02040816326530612,2,1594225.0464918758
coccoc.com / local_display,56,42,130,0.5461538461538461,3.3,148.46923076923076,0.0,0,0.0
ecosia.org / local_display,53,45,74,0.43243243243243246,4.621621621621622,190.44594594594594,0.013513513513513514,1,458943.57399008545
linhkiendoc.com / local_display,48,12,83,0.6626506024096386,4.096385542168675,172.33734939759037,0.024096385542168676,2,6111196.01155219
ecosia.org / organic,40,35,55,0.4727272727272727,5.490909090909091,290.1272727272727,0.0,0,0.0
mlr.itim.vn / local_display,25,24,25,0.8,1.2,13.28,0.0,0,0.0
tinhte.vn / local_display,21,6,66,0.3181818181818182,5.848484848484849,386.74242424242425,0.015151515151515152,1,1195668.784868907
yandex / organic,21,20,21,0.8571428571428571,1.1428571428571428,3.2857142857142856,0.0,0,0.0
l.workplace.com / local_display,17,10,31,0.6129032258064516,3.032258064516129,313.258064516129,0.0967741935483871,3,7826195.6827783
baidu.com / local_display,16,16,16,1.0,1.0,0.0,0.0,0,0.0
l.instagram.com / referral,16,14,89,0.10112359550561797,13.01123595505618,3379.3595505617977,0.0,0,0.0
m.youtube.com / referral,15,15,16,0.75,1.5,25.1875,0.0,0,0.0
vnexpress.net / local_display,11,0,105,0.3142857142857143,5.733333333333333,224.71428571428572,0.02857142857142857,3,4239189.328171579
us20.campaign-archive.com / local_display,9,2,15,0.13333333333333333,9.0,270.6666666666667,0.0,0,0.0
yandex.ru / local_display,9,8,10,0.9,1.1,3.3,0.0,0,0.0
twitter / social,8,0,33,0.21212121212121213,8.303030303030303,243.87878787878788,0.0,0,0.0
googleweblight.com / referral,7,6,9,0.3333333333333333,5.0,213.0,0.1111111111111111,1,157007.0121545029
mailchi.mp / referral,7,3,7,0.42857142857142855,3.857142857142857,130.0,0.0,0,0.0
us7.campaign-archive.com / local_display,7,4,10,0.5,3.2,110.3,0.0,0,0.0
cn.bing.com / local_display,6,6,7,0.8571428571428571,1.1428571428571428,9.0,0.0,0,0.0
websosanh.vn / local_display,6,1,15,0.4,5.8,167.26666666666668,0.0,0,0.0
adguard.com / local_display,5,3,7,0.42857142857142855,6.0,234.14285714285714,0.0,0,0.0
cuahangtcs.com / local_display,5,0,28,0.39285714285714285,5.821428571428571,389.5,0.0,0,0.0
google / cpc,5,2,8,0.25,2.25,68.5,0.0,0,0.0
google.com / referral,5,4,5,0.8,1.2,157.6,0.0,0,0.0
news.zing.vn / local_display,5,0,14,0.5714285714285714,3.7142857142857144,161.0,0.07142857142857142,1,567640.7362508952
ttvnol.com / local_display,5,2,5,1.0,1.0,0.0,0.0,0,0.0
webredirect.garenanow.com / local_display,5,4,5,1.0,1.0,0.0,0.0,0,0.0
genk.vn / local_display,4,2,11,0.9090909090909091,1.7272727272727273,14.727272727272727,0.0,0,0.0
getpocket.com / local_display,4,0,8,0.25,7.875,138.125,0.125,1,640105.511091435
ahrefs.tool.buyseotools.io / local_display,3,2,5,0.8,3.6,61.2,0.0,0,0.0
ahrefs3.tool.buyseotools.io / local_display,3,1,7,0.5714285714285714,1.5714285714285714,248.28571428571428,0.0,0,0.0
ankersacnhanh.com / local_display,3,3,3,1.0,1.0,0.0,0.0,0,0.0
bit.ly / local_display,3,0,6,0.5,2.8333333333333335,124.5,0.0,0,0.0
instagram.com / referral,3,3,3,1.0,1.0,0.0,0.0,0,0.0
m.genk.vn / local_display,3,0,11,0.6363636363636364,2.1818181818181817,301.09090909090907,0.0,0,0.0
m.kenh14.vn / local_display,3,0,10,0.4,3.0,45.5,0.0,0,0.0
muare.club / local_display,3,1,4,0.25,4.0,80.75,0.0,0,0.0
new-cms.icheck.com.vn / local_display,3,2,4,0.5,1.5,2.75,0.0,0,0.0
out.easycounter.com / local_display,3,0,5,0.4,9.2,509.2,0.0,0,0.0
xvideos.com / local_display,3,2,3,0.3333333333333333,1.6666666666666667,508.3333333333333,0.0,0,0.0
24h.com.vn / local_display,2,0,14,0.35714285714285715,4.142857142857143,213.64285714285714,0.0,0,0.0
ahrefs2.tool.buyseotools.io / local_display,2,1,2,0.5,2.0,44.0,0.0,0,0.0
ameblo.top / local_display,2,2,2,1.0,1.0,0.0,0.0,0,0.0
baomoi.com / local_display,2,0,4,0.75,1.5,15.75,0.0,0,0.0
cellphones.com.vn / local_display,2,0,5,0.8,4.2,207.6,0.0,0,0.0
forums.voz.vn / local_display,2,0,9,0.3333333333333333,2.3333333333333335,205.66666666666666,0.0,0,0.0
hk.search.yahoo.com / local_display,2,2,2,1.0,1.0,0.0,0.0,0,0.0
hucau.net / local_display,2,2,2,1.0,1.0,0.0,0.0,0,0.0
m.baomoi.com / local_display,2,0,3,0.0,4.0,92.0,0.0,0,0.0
m.cafe.naver.com / local_display,2,2,2,1.0,1.0,0.0,0.0,0,0.0
m.websosanh.vn / local_display,2,0,3,0.6666666666666666,2.0,42.666666666666664,0.0,0,0.0
mail.yahoo.com / local_display,2,0,2,0.5,4.5,514.0,0.0,0,0.0
opti-page.com / local_display,2,1,4,0.0,7.0,389.25,0.0,0,0.0
r.duckduckgo.com / local_display,2,2,12,0.4166666666666667,2.4166666666666665,554.4166666666666,0.0,0,0.0
r.search.aol.com / referral,2,0,6,0.16666666666666666,7.666666666666667,198.33333333333334,0.0,0,0.0
search.gmx.net / local_display,2,0,2,1.0,1.0,0.0,0.0,0,0.0
thuonggiado.vn / local_display,2,0,6,0.5,2.5,133.5,0.0,0,0.0
tw.search.yahoo.com / referral,2,1,5,0.4,5.2,526.8,0.0,0,0.0
xsmn.me / local_display,2,0,6,1.0,1.0,0.0,0.0,0,0.0
yandex.com / local_display,2,1,8,0.625,2.375,57.125,0.0,0,0.0
10.0.0.1:8000 / local_display,1,0,4,0.25,3.25,312.75,0.0,0,0.0
10.100.0.27 / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
116.109.22.193:8880 / local_display,1,0,2,0.5,9.5,418.5,0.0,0,0.0
123.30.116.134 / local_display,1,0,7,1.0,1.0,0.0,0.0,0,0.0
172.16.0.1:1000 / local_display,1,0,8,0.375,4.875,289.0,0.0,0,0.0
172.16.0.1:2050 / local_display,1,1,1,0.0,11.0,299.0,0.0,0,0.0
172.168.0.1 / local_display,1,0,2,1.0,1.0,0.0,0.0,0,0.0
172.17.0.1:12082 / local_display,1,0,2,1.0,1.0,0.0,0.0,0,0.0
172.23.3.254:1000 / local_display,1,0,8,0.25,3.625,132.375,0.0,0,0.0
192.168.1.1 / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
192.168.162.254:90 / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
192.168.2.1 / local_display,1,0,4,0.25,4.75,492.25,0.0,0,0.0
192.168.70.2:8880 / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
59.29.251.41 / local_display,1,0,1,0.0,5.0,1175.0,0.0,0,0.0
5giay.vn / local_display,1,1,1,0.0,3.0,59.0,0.0,0,0.0
amp-24h-com-vn.cdn.ampproject.org / local_display,1,0,7,0.2857142857142857,5.0,404.0,0.0,0,0.0
animehay.tv / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
apkpure.com / local_display,1,0,4,0.5,4.75,457.75,0.0,0,0.0
axcus.top / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
bachlongmobile.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
bak.com.vn / local_display,1,0,3,0.6666666666666666,1.6666666666666667,12.333333333333334,0.0,0,0.0
blog.naver.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
bongda.com.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
bongdaplus.vn / local_display,1,0,2,0.0,7.5,163.0,0.0,0,0.0
cancaukr.vn / local_display,1,0,10,0.7,6.6,165.3,0.0,0,0.0
chartsapi.gdgdocs.org / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
chonhanh.vn / local_display,1,1,1,0.0,2.0,14.0,0.0,0,0.0
cic.org.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
clickbuy.com.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
degrey.vn / local_display,1,0,18,0.2777777777777778,4.277777777777778,382.5,0.0,0,0.0
dienmayxanh.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
dientuachau.com / local_display,1,0,5,0.2,4.0,74.4,0.0,0,0.0
dmca.com / local_display,1,0,6,0.0,3.3333333333333335,260.0,0.0,0,0.0
docbao.vn / local_display,1,0,2,0.5,4.5,108.0,0.0,0,0.0
ebank.tpb.vn / local_display,1,0,10,0.4,4.6,125.3,0.0,0,0.0
ebanking.scb.com.vn / local_display,1,0,1,0.0,8.0,1048.0,0.0,0,0.0
fedauth.pg.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
giare24h.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
google.com.vn / referral,1,0,7,0.7142857142857143,2.2857142857142856,21.428571428571427,0.0,0,0.0
hangmy.fptshop.com.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
hdvietnam.com / local_display,1,0,2,0.5,1.5,4.0,0.0,0,0.0
hoangkien.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
hocacanh.vn / local_display,1,0,9,0.2222222222222222,4.666666666666667,250.55555555555554,0.0,0,0.0
hocdientu.vn / local_display,1,0,1,0.0,2.0,1660.0,0.0,0,0.0
hoco.vn / local_display,1,0,1,0.0,2.0,45.0,0.0,0,0.0
homeokatu.com / local_display,1,1,1,0.0,4.0,53.0,0.0,0,0.0
hyundaithuduc.vn / local_display,1,1,4,0.5,2.25,40.75,0.0,0,0.0
ieltsonlinetests.com / local_display,1,0,7,0.42857142857142855,6.857142857142857,182.71428571428572,0.0,0,0.0
imasdk.googleapis.com / referral,1,0,1,1.0,1.0,0.0,0.0,0,0.0
in.search.yahoo.com / local_display,1,1,1,0.0,6.0,41.0,0.0,0,0.0
int.search.tb.ask.com / local_display,1,1,3,0.3333333333333333,3.0,161.33333333333334,0.0,0,0.0
iwater.vn / local_display,1,0,3,0.3333333333333333,4.666666666666667,78.0,0.0,0,0.0
kenh14.vn / local_display,1,0,2,0.5,3.5,49.5,0.0,0,0.0
lazada.vn / local_display,1,1,5,1.0,1.0,0.0,0.0,0,0.0
lg.com / local_display,1,0,1,0.0,2.0,5.0,0.0,0,0.0
lienvietpharmacy.hostingerapp.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
linhkienlammusic.com / local_display,1,0,4,0.5,3.5,69.75,0.0,0,0.0
livejournal.top / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
livescore.com / local_display,1,0,10,0.6,1.5,31.2,0.0,0,0.0
livetv.sx / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
lm.workplace.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
logoutwifi.netnam.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
m.blog.naver.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
m.cafef.vn / local_display,1,0,46,0.6521739130434783,1.6304347826086956,46.32608695652174,0.0,0,0.0
m.gamek.vn / local_display,1,0,10,0.7,1.9,18.0,0.0,0,0.0
m.thanhnien.vn / local_display,1,0,10,0.1,4.0,254.2,0.0,0,0.0
maccenter.vn / local_display,1,0,1,0.0,8.0,356.0,0.0,0,0.0
mangapark.net / local_display,1,0,2,0.5,1.5,4.0,0.0,0,0.0
messenger.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
misaigon.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
mistore.com.vn / local_display,1,0,2,0.5,5.5,421.0,0.0,0,0.0
nhattao.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
no.search.yahoo.com / referral,1,1,1,0.0,4.0,183.0,0.0,0,0.0
notify.bluecoat.com / local_display,1,0,1,0.0,8.0,315.0,0.0,0,0.0
online.acb.com.vn / local_display,1,0,1,0.0,39.0,894.0,0.0,0,0.0
openurls.com.cn / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
oxii.vn / local_display,1,0,2,0.0,9.5,781.5,0.0,0,0.0
ozbargain.com.au / local_display,1,0,2,0.5,2.5,59.0,0.0,0,0.0
pages.lazada.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
pfp1.boehringer.com / local_display,1,1,1,0.0,4.0,87.0,0.0,0,0.0
phatdatcomputer.vn / local_display,1,0,24,0.5416666666666666,1.8333333333333333,70.375,0.0,0,0.0
phimmoi.net / local_display,1,0,8,0.5,4.25,56.75,0.0,0,0.0
phukiengiare24h.com / local_display,1,1,2,1.0,1.0,0.0,0.0,0,0.0
proe.vn / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
rinkshop.tk / local_display,1,0,1,0.0,2.0,8.0,0.0,0,0.0
saigonvape.net / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
saigonxua.vn / local_display,1,0,3,0.6666666666666666,1.3333333333333333,351.6666666666667,0.0,0,0.0
search.google.com / referral,1,0,1,1.0,1.0,0.0,0.0,0,0.0
sextop1.net / local_display,1,0,12,0.5,3.0,56.416666666666664,0.0,0,0.0
shopeecs.lightning.force.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
sogou / organic,1,1,1,1.0,1.0,0.0,0.0,0,0.0
start.mysearchdial.com / local_display,1,0,3,1.0,1.0,0.0,0.0,0,0.0
techzones.vn / local_display,1,0,9,0.3333333333333333,4.666666666666667,259.55555555555554,0.0,0,0.0
tendata.mailsou.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
thegioididong.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
thiendia.com / local_display,1,0,5,0.2,4.4,605.6,0.0,0,0.0
touch.facebook.com / referral,1,0,1,1.0,1.0,0.0,0.0,0,0.0
tpc.googlesyndication.com / referral,1,0,31,0.45161290322580644,2.4516129032258065,38.45161290322581,0.0,0,0.0
translate.google.com / referral,1,1,2,1.0,1.0,0.0,0.0,0,0.0
tuoi69.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
tuoitre.vn / local_display,1,0,15,0.4,11.066666666666666,535.4666666666667,0.0,0,0.0
uk.search.yahoo.com / referral,1,0,1,0.0,6.0,184.0,0.0,0,0.0
upload.facebook.com / referral,1,1,1,0.0,4.0,68.0,0.0,0,0.0
us.search.yahoo.com / referral,1,1,1,1.0,1.0,0.0,0.0,0,0.0
vi.m.wikipedia.org / local_display,1,0,8,0.75,2.25,36.75,0.0,0,0.0
vietfones.vn / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
vietlott.vn / local_display,1,0,51,0.6470588235294118,1.803921568627451,75.56862745098039,0.0,0,0.0
vietnamnet.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
vn.indeed.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
wap.sogou.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
web.start.fyi / local_display,1,0,22,0.36363636363636365,2.6363636363636362,237.8181818181818,0.0,0,0.0
www-dienmayxanh-com.cdn.ampproject.org / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
xiaomiviet.vn / local_display,1,0,2,0.0,4.5,113.0,0.0,0,0.0
xnxx.com / local_display,1,0,2,0.5,1.5,6.0,0.0,0,0.0
zalo / (not set),1,1,1,1.0,1.0,0.0,0.0,0,0.0
,657602,530065,1261203,0.6680264794803057,3.1865227088739876,154.4947427178654,0.007989990509061587,10077,10041473652.0
